Initial Size,Experiment Size(N),Experiment Height(h),Sqrt(N)
616,614.6,20.2,24.791127445116327
617,618.0,20.6,24.859605789312106
618,609.2,21.1,24.68197723035981
619,616.0,19.9,24.819347291981714
620,614.0,21.3,24.779023386727733
621,621.8,19.9,24.935917869611295
622,619.0,19.6,24.879710609249457
623,617.0,20.6,24.839484696748443
624,620.0,20.7,24.899799195977465
625,618.0,21.4,24.859605789312106
626,627.8,20.5,25.055937420100648
627,625.2,19.7,25.00399968005119
628,631.6,19.6,25.13165334791963
629,623.6,20.2,24.971984302413777
630,623.4,20.4,24.96797949374358
631,625.6,20.5,25.011997121381572
632,633.4,20.3,25.167439281738616
633,628.0,21.0,25.059928172283335
634,627.4,20.7,25.047954008261833
635,633.6,21.7,25.17141235608364
636,625.6,20.8,25.011997121381572
637,630.8,20.8,25.115732121520963
638,639.4,20.7,25.28635995947222
639,632.6,20.8,25.151540708274712
640,638.2,20.8,25.262620608321697
641,639.6,21.1,25.29031435154573
642,642.0,21.3,25.337718918639855
643,649.2,20.7,25.479403446705735
644,647.8,20.9,25.451915448547286
645,652.8,20.3,25.5499510762741
646,650.2,21.0,25.499019588995967
647,641.6,21.1,25.3298243183801
648,644.2,20.4,25.381095327034252
649,649.4,21.0,25.483327883147442
650,645.2,21.3,25.400787389370432
651,654.2,20.4,25.577333715616255
652,660.2,20.9,25.694357357209775
653,642.2,21.8,25.341665296503308
654,651.4,20.5,25.522539058643833
655,659.6,21.2,25.682678987987217
656,660.4,20.8,25.69824896758532
657,650.6,21.0,25.5068618218706
658,659.4,21.4,25.678785017987124
659,658.2,20.9,25.65540878645281
660,656.2,21.0,25.616400996236766
661,673.0,20.9,25.942243542145693
662,664.6,21.7,25.779837082495305
663,667.4,21.8,25.834086010540414
664,669.8,21.7,25.880494585691363
665,662.4,20.9,25.73713270743266
666,663.0,20.6,25.748786379167466
667,681.2,21.7,26.099808428415717
668,664.8,19.8,25.78371579117331
669,672.8,21.5,25.93838853899756
670,668.2,20.7,25.849564793241687
671,673.8,21.1,25.957657829627077
672,671.8,21.4,25.919104922817066
673,666.2,21.4,25.810850431553007
674,666.6,21.6,25.818597947990902
675,678.2,20.9,26.042273326267047
676,671.6,21.0,25.915246477701114
677,680.8,21.5,26.092144411680692
678,686.4,20.9,26.199236630100504
679,673.6,20.9,25.953805116013335
680,679.4,21.0,26.065302607105867
681,671.8,20.4,25.919104922817066
682,680.4,20.8,26.084478143140988
683,684.2,20.8,26.157216977346806
684,689.2,20.5,26.252618916976648
685,673.6,21.3,25.953805116013335
686,687.0,20.8,26.210684844162312
687,684.2,21.4,26.157216977346806
688,682.8,21.1,26.130442016927304
689,685.6,21.1,26.183964558485027
690,682.2,21.7,26.1189586316147
691,692.6,21.5,26.317294693794043
692,696.4,21.0,26.38939180807318
693,696.2,21.8,26.385602134497518
694,697.4,20.6,26.408332018512642
695,696.0,21.2,26.38181191654584
696,690.2,21.4,26.27165773224065
697,687.6,20.9,26.22212806009459
698,700.4,21.7,26.465071320516028
699,704.8,20.4,26.548069609672186
700,691.4,22.2,26.29448611401257
701,695.2,21.1,26.366645596283195
702,696.6,21.2,26.393180937507324
703,702.8,20.8,26.510375327407193
704,696.0,20.8,26.38181191654584
705,693.6,21.2,26.336286754210434
706,714.4,21.1,26.72826219566098
707,709.2,21.0,26.630809225406576
708,709.6,21.9,26.63831826523589
709,701.4,20.8,26.48395740821224
710,704.4,20.8,26.540535036053814
711,713.6,21.3,26.7132925713024
712,712.2,21.5,26.68707552355634
713,715.0,21.1,26.739483914241877
714,718.0,20.9,26.795522013948524
715,718.2,21.3,26.799253720952755
716,718.8,20.8,26.81044572550035
717,716.4,21.6,26.765649627834552
718,722.6,22.5,26.881220210399675
719,732.4,21.5,27.062889720057612
720,717.0,22.1,26.77685567799177
721,707.6,21.0,26.600751869073175
722,713.4,21.2,26.709548854295537
723,720.0,22.6,26.832815729997478
724,725.6,22.1,26.93696345173301
725,734.6,21.5,27.10350530835449
726,723.6,21.5,26.899814125751874
727,730.6,21.6,27.029613389761977
728,730.2,22.1,27.022213084793776
729,722.0,21.7,26.870057685088806
730,723.0,21.0,26.888659319497503
731,730.2,21.5,27.022213084793776
732,725.2,22.3,26.929537686339884
733,729.4,21.4,27.00740639158081
734,736.8,20.6,27.144060123717676
735,734.8,21.7,27.10719461692781
736,738.8,23.1,27.18087562975115
737,735.4,21.2,27.11825953117198
738,736.0,22.2,27.129319932501073
739,738.0,22.4,27.16615541441225
740,744.8,21.5,27.2910241654651
741,750.0,21.9,27.386127875258307
742,745.0,21.5,27.294688127912362
743,732.0,21.8,27.055498516937366
744,738.4,21.7,27.173516518846064
745,746.2,21.9,27.316661582265137
746,750.8,21.4,27.400729917285048
747,754.8,22.3,27.473623714391955
748,749.8,21.7,27.382476148076893
749,737.0,22.0,27.147743920996454
750,753.0,21.1,27.440845468024488
751,754.4,21.0,27.46634304016463
752,743.4,21.7,27.26536264200423
753,757.4,21.3,27.520901148036558
754,758.2,22.3,27.535431719876847
755,752.2,22.6,27.426264783962107
756,757.4,21.9,27.520901148036558
757,753.6,21.1,27.451775898837585
758,761.6,22.5,27.597101297056543
759,760.2,22.1,27.571724646818886
760,771.6,20.8,27.777688888746667
761,761.0,21.7,27.586228448267445
762,765.6,21.9,27.66947776883402
763,755.6,22.1,27.488179277645873
764,760.0,21.8,27.568097504180443
765,759.4,21.5,27.557213211789033
766,760.8,21.7,27.5826032128949
767,762.0,22.9,27.60434748368452
768,765.4,22.1,27.66586344215557
769,773.0,21.7,27.80287754891569
770,767.8,22.1,27.709204246964582
771,771.2,22.5,27.77048793233565
772,780.0,22.0,27.92848008753788
773,758.0,22.3,27.53179979587241
774,772.8,23.6,27.799280566230486
775,776.4,21.6,27.86395521098898
776,779.0,22.6,27.910571473905726
777,777.4,21.9,27.88189376638538
778,781.0,21.8,27.94637722496424
779,790.0,22.3,28.106938645110393
780,781.6,22.1,27.957110008010485
781,767.2,22.1,27.698375403622503
782,788.0,21.9,28.071337695236398
783,784.2,21.6,28.003571200830798
784,779.2,21.6,27.914154115788644
785,794.0,22.3,28.178005607210743
786,779.6,21.8,27.92131802046601
787,781.2,22.1,27.949955277245078
788,785.6,21.5,28.02855686616776
789,784.2,22.6,28.003571200830798
790,785.8,20.9,28.032124428947586
791,796.0,21.9,28.21347195933177
792,790.0,22.1,28.106938645110393
793,796.2,22.8,28.217016142746207
794,780.0,21.5,27.92848008753788
795,795.6,21.5,28.20638225650358
796,805.6,22.3,28.383093559370867
797,790.2,22.6,28.11049626029395
798,789.8,22.3,28.10338057956729
799,791.0,21.9,28.124722220850465
800,794.6,22.2,28.188650198262422
801,795.4,21.7,28.20283673675398
802,814.2,21.0,28.53419001829209
803,806.8,21.5,28.40422503783548
804,792.8,22.4,28.156704352604905
805,803.6,22.9,28.347839423843222
806,819.0,22.6,28.61817604250837
807,810.0,22.7,28.460498941515414
808,807.2,22.0,28.411265371327623
809,808.6,21.9,28.43589281172652
810,810.8,23.1,28.474550040343043
811,808.8,22.1,28.439409276565502
812,818.2,22.0,28.6041954964652
813,803.4,22.5,28.34431159862592
814,823.0,22.3,28.687976575562104
815,817.2,23.3,28.58671019897183
816,804.6,22.0,28.365471968574752
817,821.6,24.0,28.66356572375461
818,815.0,22.4,28.548204847240395
