Size(N),Experiment Height(h),Log of Size,Sqrt of Size
266,16.3,5.58799744166249,16.34625339336204
267,15.2,5.593223284089137,16.389020715100706
268,14.7,5.575191240283214,16.241921068642096
269,15.6,5.60138054103812,16.45600194457937
270,16.1,5.58724865840025,16.34013463836819
271,15.2,5.603593747400769,16.47422228816887
272,15.8,5.600641715736688,16.44992401198255
273,16.4,5.604330395684541,16.480291259562133
274,15.6,5.612397912854348,16.546903033498445
275,16.0,5.592478405097527,16.382917933017914
276,15.9,5.610204127696635,16.52876280911551
277,15.2,5.589493328254074,16.358484037342826
278,16.0,5.63906615993651,16.769019053003667
279,15.2,5.619675965359201,16.607227342335023
280,15.3,5.616043560348194,16.57709262808168
281,15.6,5.639777144680289,16.774981371077583
282,16.1,5.642616039418714,16.798809481626964
283,15.5,5.651787179537821,16.87601848778319
284,15.2,5.674010316322531,17.064583206161235
285,15.3,5.641907070938114,16.792855623746664
286,15.2,5.648269764725942,16.84636459299157
287,15.7,5.667809814197383,17.01176063786462
288,16.1,5.625460507880731,16.655329477377503
289,15.5,5.665734407018671,16.994116628998402
290,16.3,5.655292265495767,16.90562036720333
291,16.0,5.662265794453267,16.964669168598604
292,16.1,5.659482215759621,16.941074346097416
293,16.0,5.680172609017068,17.11724276862369
294,16.5,5.682899263739777,17.140595088852663
295,16.4,5.6842598081673374,17.15225932639779
296,16.0,5.682899263739777,17.140595088852663
297,15.6,5.697764402330638,17.268468374467957
298,16.2,5.69910488510509,17.28004629623428
299,15.6,5.699774453258662,17.28583234906552
300,15.7,5.709764546333749,17.372391890583174
301,16.8,5.7196558238124915,17.458522274236156
302,15.8,5.720967299410302,17.469974241537965
303,16.4,5.709101636133801,17.36663467687393
304,15.9,5.705780477318874,17.337819932159867
305,16.2,5.712411801354255,17.395401691251628
306,16.0,5.736572297479192,17.60681686165901
307,16.2,5.717685379825192,17.44133022449836
308,16.3,5.731397641689174,17.561321134812154
309,15.8,5.720311776607412,17.46424919657298
310,15.6,5.746203190540153,17.69180601295413
311,15.6,5.738505910714586,17.623847480048163
312,16.9,5.750029725821521,17.725687574816384
313,17.1,5.748755840298932,17.714400921284355
314,17.6,5.768945800562614,17.894133116750865
315,16.3,5.7430031878094825,17.663521732655695
316,15.9,5.7481182884762525,17.708754896942924
317,16.4,5.7430031878094825,17.663521732655695
318,15.9,5.726196069493101,17.515707236649053
319,16.4,5.729450221404779,17.544229820656135
320,16.8,5.75890177387728,17.804493814764857
321,17.4,5.757639147446912,17.793257149830662
322,16.1,5.765191102784844,17.86057109949175
323,16.0,5.780743515792329,18.0
324,16.4,5.788123623089952,18.066543665017942
325,16.7,5.785055194784937,18.038846969803807
326,15.9,5.781360609301576,18.005554698481244
327,16.4,5.784440377673656,18.033302526159762
328,16.9,5.794232377578273,18.121810064118872
329,16.4,5.794841205603168,18.127327436773463
330,16.5,5.790571604728592,18.088670487352022
331,17.1,5.802118375377063,18.193405398660254
332,15.4,5.805134968916488,18.2208671582886
333,17.6,5.809342970316694,18.259244234085923
334,15.7,5.801513963149536,18.18790807102345
335,16.2,5.802118375377063,18.193405398660254
336,16.1,5.8224540043737,18.379336223052235
337,16.3,5.82600010738045,18.411952639521967
338,16.8,5.814727368607928,18.308467986153293
339,17.0,5.841803772553575,18.558017135459274
340,15.7,5.811739616161293,18.281137820168635
341,16.8,5.815323849389109,18.313929125122222
342,16.7,5.831882477283517,18.466185312619388
343,17.3,5.850476853807004,18.63866948041088
344,17.1,5.840641657373398,18.547236990991408
345,16.8,5.838895948463375,18.5310550158376
346,16.6,5.860216260498028,18.72965562950905
347,17.1,5.851627601920183,18.649396773086256
348,17.6,5.85678964378138,18.69759342803239
349,17.1,5.868166330763488,18.804254837669053
350,16.4,5.849324779946859,18.627936010197157
351,17.1,5.8805329864007,18.920887928424502
352,17.6,5.851627601920183,18.649396773086256
353,17.6,5.857933154483459,18.708286933869708
354,16.6,5.870426218730926,18.825514601200148
355,17.2,5.861355861760962,18.740330840195966
356,17.4,5.8794150432993595,18.9103146457165
357,17.7,5.887214525734183,18.984203960134856
358,16.4,5.8944028342648505,19.05255888325765
359,16.7,5.869296913133774,18.81488772222678
360,18.0,5.878855602725328,18.905025786811294
361,17.2,5.875492370855561,18.873261509341727
362,16.9,5.88943182154283,19.00526242912736
363,17.3,5.8805329864007,18.920887928424502
364,17.3,5.879974171074619,18.915602025840997
365,16.7,5.877735781779639,18.894443627691185
366,18.0,5.899349258200177,19.099738218101315
367,17.6,5.9048167403823095,19.15202339179858
368,18.3,5.912962318953024,19.23018460649819
369,18.2,5.908626268798978,19.188538245525635
370,17.2,5.906451172781026,19.16768113257313
371,17.6,5.916202062607435,19.261360284258224
372,16.5,5.921578419643816,19.313207915827967
373,17.3,5.922114468973189,19.3183850256692
374,17.6,5.929589143389895,19.390719429665317
375,17.5,5.925858790009988,19.354586019855862
376,17.4,5.935951837177723,19.452506265260524
377,17.9,5.931714542702208,19.411336893681487
378,18.0,5.93330563293445,19.426785632214095
379,17.8,5.9327755507593025,19.421637418096342
380,17.6,5.9568731023383625,19.657059800488984
381,18.0,5.937008361311923,19.462785001124583
382,16.9,5.956355369994414,19.651971911235776
383,17.4,5.957907763579139,19.667231630303235
384,17.0,5.96409335031185,19.72815247305231
385,18.1,5.955837369464831,19.6468827043885
386,17.5,5.9615206707349095,19.702791680368545
387,17.3,5.9417489548620495,19.50897229481861
388,18.0,5.976350909297934,19.849433241279208
389,18.0,5.978885764901122,19.87460691435179
390,17.9,5.957907763579139,19.667231630303235
391,17.3,5.971771913762246,19.804039991880444
392,17.6,5.983936280687191,19.924858845171276
393,17.3,5.998936561946683,20.074859899884732
394,17.7,5.951683677096137,19.60612149304395
395,17.8,6.003887067106539,20.12461179749811
396,17.4,5.971261839790462,19.79898987322333
397,17.5,5.971261839790462,19.79898987322333
398,17.9,5.992963423231718,20.014994379214798
399,18.1,5.981919134264451,19.904773296875298
400,18.2,5.999432716757159,20.079840636817814
401,17.6,6.0127366823835215,20.21385663350762
402,17.7,6.004380772374528,20.12958022413781
403,18.7,6.022963214167353,20.31748015872047
404,17.6,6.008813185442595,20.174241001832016
405,18.3,6.000424288479454,20.089798406156294
406,18.8,6.004380772374528,20.12958022413781
407,18.4,6.0239317372454835,20.32732151563506
408,17.4,6.015181073725298,20.23857702507763
409,17.9,6.031646336740814,20.405881505095532
410,17.8,5.983432375410718,19.91983935678197
411,18.0,6.014204034077471,20.228692493584454
412,18.3,6.01224708629051,20.208908926510603
413,18.7,6.021023349349527,20.29778313018444
414,17.4,6.01224708629051,20.208908926510603
415,17.8,6.0364379127507135,20.454828280872952
416,18.4,6.0407307884109,20.498780451529306
417,19.0,6.015181073725298,20.23857702507763
418,17.5,6.0407307884109,20.498780451529306
419,17.2,6.050205042130582,20.59611613872868
420,18.6,6.0330862217988015,20.42057785666214
421,18.8,6.037393478996382,20.464603587658374
422,18.9,6.05818817915089,20.67849124090053
423,19.2,6.0454791354142206,20.547505931377657
424,18.6,6.04310778025982,20.523157651784484
425,18.0,6.052089168924417,20.615528128088304
426,18.7,6.037870919922137,20.46948949045872
427,19.0,6.06425021683363,20.741263220932325
428,18.1,6.054439346269371,20.639767440550294
429,18.2,6.06331998420841,20.731618364228105
430,17.6,6.0674992333839795,20.774984957876626
431,17.8,6.067035733955056,20.770170918892315
432,18.1,6.073505257444191,20.837466256721328
433,18.6,6.096274911460327,21.076052761368768
434,18.0,6.048789613727251,20.581545131500697
435,18.7,6.066108090103747,20.760539492026695
436,18.8,6.0867747269123065,20.97617696340303
437,18.8,6.09807428216624,21.095023109728988
438,18.7,6.073505257444191,20.837466256721328
439,17.8,6.081762185088762,20.923670806051216
440,18.8,6.105685691198005,21.17545749210628
441,18.7,6.076265148800447,20.866240677227893
442,18.9,6.095374010498493,21.066561181170506
443,18.9,6.083587835983788,20.942779185198894
444,17.8,6.107468222864288,21.194338866782328
445,19.1,6.0994216886130745,21.109239683134017
446,18.2,6.095824562432225,21.071307505705477
447,18.6,6.102111067195046,21.13764414498456
448,18.2,6.120736882812121,21.335416564951338
449,18.8,6.109691928472632,21.2179169571379
450,17.5,6.087683404848525,20.985709423319477
451,18.8,6.113682179832232,21.2602916254693
452,18.3,6.118537629671458,21.31196846844514
453,18.6,6.115450526888973,21.279097725232617
454,18.8,6.111467339502679,21.236760581595302
455,19.6,6.119857761876381,21.32604042010612
456,18.5,6.122931309850288,21.358838919754042
457,17.5,6.12029741895095,21.330729007701542
458,18.7,6.121176153629639,21.340103092534488
459,18.4,6.143756357450241,21.582400237230335
460,18.8,6.135131896920395,21.4895323355349
461,17.8,6.133398042996649,21.470910553583888
462,18.9,6.135564891081739,21.494185260204677
463,19.0,6.147185422104758,21.619435700313733
464,19.5,6.137727054086234,21.517434791350013
465,19.3,6.164156554926094,21.803669415949233
466,18.6,6.136430317358168,21.50348808914498
467,19.0,6.1675164908883415,21.840329667841555
468,19.2,6.149749526073696,21.64717071582335
469,18.3,6.13599769784028,21.498837177856853
470,19.1,6.141176820336309,21.554581879498382
471,18.3,6.157826084323207,21.73476477903545
472,17.8,6.159095388491933,21.748563170931547
473,18.2,6.156978985585555,21.72556098240043
474,19.0,6.178773645412976,21.963606261267753
475,19.2,6.1501762382628025,21.651789764358973
476,19.6,6.170865175474273,21.876928486421487
477,19.3,6.1721180468012395,21.890637268019404
478,18.4,6.173369350405594,21.90433747000808
479,18.5,6.1637357680484355,21.79908254950194
480,17.8,6.160785291724685,21.766947420343534
481,19.2,6.171700597410915,21.88606862823929
482,17.9,6.193997144518067,22.13142562059661
483,18.6,6.1886747163956874,22.07260745811423
484,18.1,6.187442430349423,22.059011763902753
485,19.3,6.1812581187406375,21.990907211845535
486,18.7,6.1968513768329325,22.16303228351211
487,19.3,6.194405391104672,22.135943621178654
488,19.9,6.195221384622002,22.144976857066254
489,19.1,6.189085141191105,22.077137495608437
490,19.8,6.192771403813017,22.117866081518805
491,20.2,6.19154415882364,22.104298224553524
492,19.6,6.194813471094013,22.140460699813815
493,19.8,6.203749355087316,22.239604313026796
494,19.3,6.211402967473243,22.32487401980132
495,18.6,6.211402967473243,22.32487401980132
496,19.3,6.210198389933492,22.311432047271193
497,19.5,6.193180151008571,22.122386851332294
498,19.2,6.228116448446984,22.512218904408336
499,19.9,6.206575926724928,22.271057451320086
500,18.8,6.2336261042579535,22.57432169523594
501,18.9,6.220192476716092,22.423202269078338
502,19.3,6.203749355087316,22.239604313026796
503,19.1,6.234018491942015,22.578751072634642
504,19.8,6.232055012025913,22.556595487794695
505,20.4,6.248429646897702,22.74203157151973
506,18.4,6.23166185298802,22.552161758909055
507,19.2,6.2285110035911835,22.516660498395403
508,18.8,6.238324625039508,22.627416997969522
509,19.9,6.2422232654551655,22.67156809750927
510,19.6,6.238715173765425,22.631835983852483
511,19.0,6.234410725718371,22.58317958127243
512,19.3,6.235586504807383,22.596459899727655
513,19.5,6.241834084675783,22.66715685744465
514,19.5,6.2414447523757515,22.662744758744473
515,19.5,6.256901010612443,22.838563877792318
516,19.3,6.244166900663736,22.693611435820433
517,19.7,6.23519473203058,22.5920339943087
518,19.7,6.251903883165888,22.781571499789035
519,18.9,6.260728034035745,22.882307575941724
520,19.3,6.26415987725144,22.921605528409216
521,18.9,6.239495813929971,22.640671368137475
522,19.4,6.253828811575473,22.80350850198276
523,19.1,6.259581464064923,22.869193252058544
524,19.3,6.263398262591624,22.9128784747792
525,19.7,6.266441247062209,22.947766775876037
526,19.7,6.256517501499402,22.834184898962345
527,19.5,6.26985357264817,22.98695282111137
528,19.6,6.261109932073611,22.88667734731278
529,19.4,6.266441247062209,22.947766775876037
530,19.7,6.2675799831882975,22.960836221705865
531,19.6,6.264920912295781,22.93032926061028
532,19.0,6.285625585657472,23.16894473211933
533,19.4,6.272122004622799,23.01303978182804
534,19.9,6.285625585657472,23.16894473211933
535,20.7,6.280770300675861,23.112767034693185
536,19.1,6.275891326839091,23.05645245912736
537,19.8,6.276267478808919,23.06078923194087
538,18.8,6.269474999863032,22.98260211551338
539,19.4,6.297109319933935,23.302360395462088
540,20.1,6.288601778330518,23.20344801963708
541,20.4,6.279271611747914,23.095454098155333
542,19.6,6.300051580239659,23.336666428605437
543,19.8,6.289344444536209,23.212065827926647
544,20.3,6.301519470411488,23.353800547234275
545,19.4,6.277770673379832,23.078128173662613
546,18.8,6.298213682276988,23.31523107327054
547,19.9,6.3178864478756935,23.5457002444183
548,20.0,6.28711478920894,23.186202793903103
549,19.6,6.324358962381311,23.62202362203543
550,19.3,6.309918278226516,23.45207879911715
551,19.1,6.2904574107056295,23.224986544667793
552,20.4,6.310281848490474,23.456342425877057
553,20.3,6.309918278226516,23.45207879911715
554,19.5,6.330789852711601,23.6981011897578
555,19.4,6.296740927960714,23.29806858947754
556,20.0,6.310645286619134,23.46060527778429
557,20.8,6.327579577081353,23.660092983756424
558,20.4,6.309918278226516,23.45207879911715
559,20.4,6.334699578680012,23.74447304111001
560,19.5,6.3178864478756935,23.5457002444183
561,19.6,6.3139102994960545,23.498936146132234
562,20.1,6.32220610902021,23.5966099260042
563,19.7,6.341769244038871,23.82855429941145
564,20.4,6.330433663927782,23.69388106663828
565,20.0,6.339653587396416,23.803361107205006
566,19.9,6.336471686179032,23.765521244020714
567,19.3,6.335408798567896,23.75289456045305
568,19.5,6.324358962381311,23.62202362203543
569,19.4,6.329720905522696,23.68543856465402
570,20.4,6.352977767686964,23.96247065725903
571,19.3,6.3240004751933885,23.61778990506944
572,20.5,6.35402215420487,23.97498696558561
573,19.8,6.35193228928541,23.949947807876327
574,19.0,6.348089489796672,23.90397456491284
575,20.4,6.352280903547264,23.954122818421048
576,20.3,6.354717806406837,23.98332754227403
577,20.5,6.360611392542035,24.054105678657024
578,19.2,6.360611392542035,24.054105678657024
579,20.8,6.363717521010033,24.091492274244864
580,21.0,6.366814031311523,24.128820940941146
581,20.5,6.330433663927782,23.69388106663828
582,19.6,6.367157496882476,24.13296500639737
583,20.0,6.362683216487555,24.079036525575518
584,19.7,6.356801864125367,24.008331887076203
585,20.0,6.37570601876452,24.236336356801125
586,20.6,6.375365477300306,24.232209969377536
587,19.1,6.3835066348840055,24.331050121192877
588,20.5,6.385531610263777,24.355697485393435
589,19.7,6.373661028276792,24.21156748333325
590,21.3,6.3578422665081,24.020824298928627
591,20.5,6.376046444299722,24.240462041801102
592,20.3,6.396929655216146,24.49489742783178
593,20.3,6.382154369633992,24.314604664686613
594,19.7,6.370585679876545,24.17436658942691
595,20.3,6.3959291548825625,24.482646915723798
596,20.6,6.384519635139465,24.343376922686794
597,20.0,6.3965962663149085,24.49081460466352
598,20.4,6.392586905782009,24.441767530193065
599,20.7,6.379105070303594,24.277561656805652
600,21.2,6.396929655216146,24.49489742783178
601,20.4,6.401917196727186,24.55605831561735
602,20.6,6.409516770721618,24.649543606322613
603,19.1,6.3999251641959445,24.53161225847172
604,19.9,6.391246872080648,24.425396619093007
605,20.0,6.430364431302384,24.90783009416918
606,20.5,6.410174881966167,24.657656011875904
607,20.1,6.392921633818608,24.445858544956035
608,20.5,6.425193120489006,24.843510218968657
609,20.9,6.415424237852311,24.72245942457991
610,21.0,6.409845880482693,24.653600142778334
611,20.3,6.4105037752432645,24.661711213944585
612,20.6,6.429396845353648,24.89578277540194
613,19.6,6.411161237462871,24.669819618310953
614,20.8,6.414114479970247,24.706274506691614
615,19.5,6.402911726893694,24.5682722225231
616,20.1,6.427135497273212,24.867649667791284
617,21.0,6.422272462887942,24.807257002740144
618,20.6,6.431331081933479,24.919871588754223
619,20.8,6.437431598525476,24.99599967994879
620,21.1,6.432940092739179,24.939927826679853
621,20.7,6.436150368369428,24.979991993593593
622,20.1,6.435188367333237,24.96797949374358
623,20.7,6.429396845353648,24.89578277540194
624,21.3,6.425517112068059,24.847535089018386
625,20.8,6.437431598525476,24.99599967994879
626,20.9,6.453624998892692,25.199206336708304
627,20.5,6.4348674945565385,24.96397404260788
628,20.2,6.4492057997815175,25.14358765172544
629,21.4,6.443176906381466,25.067907770693587
630,21.5,6.446671747110961,25.111750237687534
631,20.0,6.447939576123892,25.12767398706056
632,20.0,6.446988855088883,25.115732121520963
633,20.8,6.44635453854367,25.107767722360343
634,20.9,6.462405237175058,25.310077044529123
635,20.8,6.458965046135599,25.26657871576601
636,20.6,6.456141514847992,25.23093339533835
